id,code,state_id/id,country_id/id,name,municipality_id/id
res_city_py73,74,dpto_py2,base.py,"GARAY CUE",paraguay_mun_id_02
res_city_py74,75,dpto_py2,base.py,"GRAL. DIAZ",paraguay_mun_id_02
res_city_py75,76,dpto_py2,base.py,"HEROES DEL CHACO",paraguay_mun_id_02
res_city_py76,77,dpto_py2,base.py,"INMACULADA",paraguay_mun_id_02
res_city_py77,78,dpto_py2,base.py,"ISLA NOVILLO",paraguay_mun_id_02
res_city_py78,79,dpto_py2,base.py,"ISLA R.",paraguay_mun_id_02
res_city_py79,80,dpto_py2,base.py,"ISLA REAL",paraguay_mun_id_02
res_city_py80,81,dpto_py2,base.py,"ISLA VALDEZ",paraguay_mun_id_02
res_city_py81,82,dpto_py2,base.py,"ISLA YBATE",paraguay_mun_id_02
res_city_py82,83,dpto_py2,base.py,"ITA PUCU MI",paraguay_mun_id_02
res_city_py83,84,dpto_py2,base.py,"ITACURUBI",paraguay_mun_id_02
res_city_py84,85,dpto_py2,base.py,"JARDIN EUROPA",paraguay_mun_id_02
res_city_py85,86,dpto_py2,base.py,"JHUGUA CANTERO",paraguay_mun_id_02
res_city_py86,87,dpto_py2,base.py,"JHUGUA CHOJA",paraguay_mun_id_02
res_city_py87,88,dpto_py2,base.py,"JHUGUA CUE",paraguay_mun_id_02
res_city_py88,89,dpto_py2,base.py,"JHUGUA GUAZU",paraguay_mun_id_02
res_city_py89,90,dpto_py2,base.py,"JHUGUA RIVAS",paraguay_mun_id_02
res_city_py90,91,dpto_py2,base.py,"JHUGUA TIMBO",paraguay_mun_id_02
res_city_py91,92,dpto_py2,base.py,"JHUGUA TORALES",paraguay_mun_id_02
res_city_py92,93,dpto_py2,base.py,"LA CANELA",paraguay_mun_id_02
res_city_py93,94,dpto_py2,base.py,"LA CONCHA",paraguay_mun_id_02
res_city_py94,95,dpto_py2,base.py,"LABITA",paraguay_mun_id_02
res_city_py95,96,dpto_py2,base.py,"LAGUNA",paraguay_mun_id_02
res_city_py96,97,dpto_py2,base.py,"LAGUNA ÑARO",paraguay_mun_id_02
res_city_py97,98,dpto_py2,base.py,"LLANO",paraguay_mun_id_02
res_city_py98,99,dpto_py2,base.py,"LOMA",paraguay_mun_id_02
res_city_py99,100,dpto_py2,base.py,"LOMA PYTA",paraguay_mun_id_02
res_city_py100,101,dpto_py2,base.py,"MALDONADO",paraguay_mun_id_02
res_city_py101,102,dpto_py2,base.py,"MANCUELLO CUE",paraguay_mun_id_02
res_city_py102,103,dpto_py2,base.py,"MBATOVI",paraguay_mun_id_02
res_city_py103,104,dpto_py2,base.py,"MBOCAYATY",paraguay_mun_id_02
res_city_py104,105,dpto_py2,base.py,"MBOREBI YCUA",paraguay_mun_id_02
res_city_py105,106,dpto_py2,base.py,"MONTAÑAS",paraguay_mun_id_02
res_city_py106,107,dpto_py2,base.py,"OCAMPOS",paraguay_mun_id_02
res_city_py107,108,dpto_py2,base.py,"OJEDA CUE",paraguay_mun_id_02
res_city_py108,109,dpto_py2,base.py,"PASO BARRETO",paraguay_mun_id_02
res_city_py109,110,dpto_py2,base.py,"PASO URUNDEY",paraguay_mun_id_02
res_city_py110,111,dpto_py2,base.py,"PASO ITA",paraguay_mun_id_02
res_city_py111,112,dpto_py2,base.py,"PEGUAJHO",paraguay_mun_id_02
res_city_py112,113,dpto_py2,base.py,"PEGUAJHO MI",paraguay_mun_id_02
res_city_py113,114,dpto_py2,base.py,"PEROY",paraguay_mun_id_02
res_city_py114,115,dpto_py2,base.py,"PICADA GUY",paraguay_mun_id_02
res_city_py115,116,dpto_py2,base.py,"PLANAS",paraguay_mun_id_02
res_city_py116,117,dpto_py2,base.py,"POTRERITO",paraguay_mun_id_02
res_city_py117,118,dpto_py2,base.py,"POTRERO ESTRELLA",paraguay_mun_id_02
res_city_py118,119,dpto_py2,base.py,"POTRERO ROMERO",paraguay_mun_id_02
res_city_py119,120,dpto_py2,base.py,"PROSPERIDAD",paraguay_mun_id_02
res_city_py120,121,dpto_py2,base.py,"PUENTE CAÑON",paraguay_mun_id_02
res_city_py121,122,dpto_py2,base.py,"PUERTO ABENTE",paraguay_mun_id_02
res_city_py122,123,dpto_py2,base.py,"PUERTO DOS",paraguay_mun_id_02
res_city_py123,124,dpto_py2,base.py,"QUINTA ALICELICA",paraguay_mun_id_02
res_city_py124,125,dpto_py2,base.py,"REQUEJO",paraguay_mun_id_02
res_city_py125,126,dpto_py2,base.py,"RINCON",paraguay_mun_id_02
res_city_py126,127,dpto_py2,base.py,"RINCON CIERVO",paraguay_mun_id_02
res_city_py127,128,dpto_py2,base.py,"RINCON CUE",paraguay_mun_id_02
res_city_py128,129,dpto_py2,base.py,"RINCON ZARZA",paraguay_mun_id_02
res_city_py129,130,dpto_py2,base.py,"RINCON DE LUNA",paraguay_mun_id_02
res_city_py130,131,dpto_py2,base.py,"RIVAS CUE",paraguay_mun_id_02
res_city_py131,132,dpto_py2,base.py,"ROJAS MI",paraguay_mun_id_02
res_city_py132,133,dpto_py2,base.py,"ROSALIA",paraguay_mun_id_02
res_city_py133,134,dpto_py2,base.py,"RURAL",paraguay_mun_id_02
res_city_py134,135,dpto_py2,base.py,"S. ISABEL",paraguay_mun_id_02
res_city_py135,136,dpto_py2,base.py,"SAGRADA FAMILIA",paraguay_mun_id_02
res_city_py136,137,dpto_py2,base.py,"SALADERO RISSO",paraguay_mun_id_02
res_city_py137,138,dpto_py2,base.py,"SALEITA",paraguay_mun_id_02
res_city_py138,139,dpto_py2,base.py,"SALINARES",paraguay_mun_id_02
res_city_py139,140,dpto_py2,base.py,"SALINARES CUE",paraguay_mun_id_02
res_city_py140,141,dpto_py2,base.py,"SAN ANTONIO",paraguay_mun_id_02
res_city_py141,142,dpto_py2,base.py,"SAN LORENZO",paraguay_mun_id_02
res_city_py142,143,dpto_py2,base.py,"SAN MIGUEL",paraguay_mun_id_02
res_city_py143,144,dpto_py2,base.py,"SAN NICOLAS",paraguay_mun_id_02
res_city_py144,145,dpto_py2,base.py,"SAN RAFAEL",paraguay_mun_id_02
res_city_py145,146,dpto_py2,base.py,"SAN SALVADOR",paraguay_mun_id_02
res_city_py146,147,dpto_py2,base.py,"SANCHEZ CUE",paraguay_mun_id_02
res_city_py147,148,dpto_py2,base.py,"SANTA CUE",paraguay_mun_id_02
res_city_py148,149,dpto_py2,base.py,"SANTA MARIA DE LA S.",paraguay_mun_id_02
res_city_py149,150,dpto_py2,base.py,"SIERVO POTRERO",paraguay_mun_id_02
res_city_py150,934,dpto_py2,base.py,"SOLALINDE",paraguay_mun_id_02
res_city_py151,935,dpto_py2,base.py,"STA. TOMASA",paraguay_mun_id_02
res_city_py152,936,dpto_py2,base.py,"BUBURBANA",paraguay_mun_id_02
res_city_py153,937,dpto_py2,base.py,"TABATINGA",paraguay_mun_id_02
res_city_py154,938,dpto_py2,base.py,"TACUATI",paraguay_mun_id_02
res_city_py155,939,dpto_py2,base.py,"TAGATIVO MI",paraguay_mun_id_02
res_city_py156,940,dpto_py2,base.py,"TATAYYUA",paraguay_mun_id_02
res_city_py157,941,dpto_py2,base.py,"TAYATY MI",paraguay_mun_id_02
res_city_py158,942,dpto_py2,base.py,"TEODORO CUE",paraguay_mun_id_02
res_city_py159,943,dpto_py2,base.py,"TOLDO CUE",paraguay_mun_id_02
res_city_py160,944,dpto_py2,base.py,"TOLEDO CUE",paraguay_mun_id_02
res_city_py161,945,dpto_py2,base.py,"TORALES",paraguay_mun_id_02
res_city_py162,946,dpto_py2,base.py,"TRANQUERA",paraguay_mun_id_02
res_city_py163,947,dpto_py2,base.py,"TRES ALTAS",paraguay_mun_id_02
res_city_py164,948,dpto_py2,base.py,"VILLA ARMANDO",paraguay_mun_id_02
res_city_py165,949,dpto_py2,base.py,"VILLA FERNANDO",paraguay_mun_id_02
res_city_py166,950,dpto_py2,base.py,"VILLA LOMA",paraguay_mun_id_02
res_city_py167,951,dpto_py2,base.py,"VILLA NUEVA",paraguay_mun_id_02
res_city_py168,952,dpto_py2,base.py,"YAGUARETE POTRERO",paraguay_mun_id_02
res_city_py169,953,dpto_py2,base.py,"YAPEPO",paraguay_mun_id_02
res_city_py170,954,dpto_py2,base.py,"YBACUMI",paraguay_mun_id_02
res_city_py171,955,dpto_py2,base.py,"IBAÑEZ ÑU",paraguay_mun_id_02
res_city_py172,956,dpto_py2,base.py,"YBYRATY",paraguay_mun_id_02
res_city_py173,957,dpto_py2,base.py,"YCUA CARANDA",paraguay_mun_id_02
res_city_py174,958,dpto_py2,base.py,"YCUA GUAZU",paraguay_mun_id_02
res_city_py175,959,dpto_py2,base.py,"YCUA PORA",paraguay_mun_id_02
res_city_py176,960,dpto_py2,base.py,"YPANE",paraguay_mun_id_02
res_city_py177,961,dpto_py2,base.py,"YPANE CUE",paraguay_mun_id_02
res_city_py178,962,dpto_py2,base.py,"YPANE JHU",paraguay_mun_id_02
res_city_py179,963,dpto_py2,base.py,"YUIY",paraguay_mun_id_02
res_city_py180,964,dpto_py2,base.py,"YUTY",paraguay_mun_id_02
res_city_py181,965,dpto_py2,base.py,"ZANJA CUE",paraguay_mun_id_02
res_city_py182,966,dpto_py2,base.py,"ZAPATERO CUE",paraguay_mun_id_02
res_city_py183,967,dpto_py2,base.py,"ÑU APUA",paraguay_mun_id_02
res_city_py184,968,dpto_py2,base.py,"ÑUMI",paraguay_mun_id_02
res_city_py185,6154,dpto_py2,base.py,"PINDURA",paraguay_mun_id_02
res_city_py186,6155,dpto_py2,base.py,"POTRERO FRENTE Y OTRO",paraguay_mun_id_02
res_city_py187,6156,dpto_py2,base.py,"RECALDE CUE",paraguay_mun_id_02
